concept_automobilemaker_caterpillar	concept_city_peoria
concept_televisionstation_kmex	concept_county_los_angeles_county
concept_televisionstation_kmgh	concept_city_denver
concept_televisionstation_kmov	concept_city_st__louis
concept_televisionstation_kmov	concept_city_st_louis
concept_televisionstation_kmph_tv	concept_city_fresno
concept_televisionstation_kmtv	concept_city_omaha
concept_televisionstation_knbc	concept_county_los_angeles_county
concept_televisionstation_knsd	concept_city_san_diego
concept_televisionstation_kntv	concept_city_san_jose
concept_televisionstation_knvn_tv	concept_city_chico
concept_televisionstation_knxt_tv	concept_city_fresno
concept_televisionstation_knxv	concept_city_phoenix
concept_televisionstation_koaa	concept_city_colorado_springs
concept_televisionstation_koat	concept_city_albuquerque
concept_televisionstation_kob	concept_city_albuquerque
concept_televisionstation_kobi	concept_city_medford
concept_televisionstation_kocb	concept_city_oklahoma_city
concept_televisionstation_koce	concept_county_los_angeles_county
concept_televisionstation_koco	concept_city_oklahoma_city
concept_televisionstation_koin_tv	concept_city_portland
concept_televisionstation_kold_tv	concept_city_tucson
concept_televisionstation_komo	concept_city_seattle
concept_televisionstation_kong	concept_city_washington_d_c
concept_televisionstation_kovr	concept_city_sacramento
concept_televisionstation_kpbs	concept_city_san_diego
concept_televisionstation_kpdx	concept_city_portland
concept_televisionstation_kpho	concept_city_phoenix
concept_televisionstation_kpix	concept_city_san_francisco
concept_televisionstation_kplc_tv	concept_city_lake_charles
concept_televisionstation_kpnx	concept_city_phoenix
concept_televisionstation_kprc	concept_city_houston
concept_televisionstation_kpsp	concept_city_palm_springs
concept_televisionstation_kptv	concept_city_portland
concept_televisionstation_kpxn	concept_county_los_angeles_county
concept_televisionstation_kqed	concept_city_san_francisco
concept_televisionstation_kqed_tv	concept_city_san_francisco
concept_televisionstation_krca	concept_county_los_angeles_county
concept_televisionstation_krcb	concept_city_rohnert_park
concept_televisionstation_krcr_tv	concept_city_redding
concept_televisionstation_krem_tv	concept_city_spokane
concept_televisionstation_kris	concept_city_corpus_christi
concept_televisionstation_kriv	concept_city_houston
concept_televisionstation_kron	concept_city_san_francisco
concept_televisionstation_krrt	concept_city_san_antonio
concept_televisionstation_ksat	concept_city_san_antonio
concept_televisionstation_ksbw_tv	concept_city_monterey
concept_televisionstation_ksby_tv	concept_city_san_luis_obispo
concept_televisionstation_ksci	concept_county_los_angeles_county
concept_televisionstation_ksdk	concept_city_st__louis
concept_televisionstation_ksee	concept_city_fresno
concept_televisionstation_kshb	concept_county_kansas_city
concept_televisionstation_ksl	concept_county_salt_lake
concept_televisionstation_ksla_tv	concept_city_shreveport
concept_televisionstation_kswb	concept_city_diego
concept_televisionstation_ktbc	concept_city_austin
concept_televisionstation_ktbn	concept_city_santa_ana
concept_televisionstation_ktbs_tv	concept_city_shreveport
concept_televisionstation_kteh	concept_city_jose
concept_televisionstation_kteh	concept_city_san_jose
concept_televisionstation_kthv	concept_city_little_rock
concept_televisionstation_ktla	concept_county_los_angeles_county
concept_televisionstation_ktnv_tv	concept_city_las_vegas
concept_televisionstation_ktrk	concept_city_houston
concept_televisionstation_ktsf_tv	concept_city_brisbane
concept_televisionstation_ktsm	concept_city_el_paso
concept_televisionstation_kttv	concept_county_los_angeles_county
concept_televisionstation_ktul_tv	concept_city_tulsa
concept_televisionstation_ktuu	concept_city_anchorage
concept_televisionstation_ktvb_tv	concept_city_twin_falls
concept_televisionstation_ktvd_tv	concept_city_denver
concept_televisionstation_ktvk	concept_city_phoenix
concept_televisionstation_ktvl_tv	concept_city_medford
concept_televisionstation_ktvt	concept_city_dallas
concept_televisionstation_ktvu	concept_city_oakland
concept_televisionstation_ktvu	concept_city_san_francisco
concept_televisionstation_ktxl	concept_city_sacramento
concept_televisionstation_kusa	concept_city_denver
concept_televisionstation_kusi	concept_city_san_diego
concept_televisionstation_kutv	concept_county_salt_lake
concept_televisionstation_kuvs	concept_city_sacramento
concept_televisionstation_kval	concept_city_eugene
concept_televisionstation_kvbc	concept_city_las_vegas
concept_televisionstation_kvcr	concept_city_san_bernardino
concept_televisionstation_kvea	concept_county_los_angeles_county
concept_televisionstation_kvia	concept_city_el_paso
concept_televisionstation_kvie	concept_city_sacramento
concept_televisionstation_kviq	concept_city_eureka
concept_televisionstation_kvoa	concept_city_tucson
concept_televisionstation_kvos	concept_city_seattle
concept_televisionstation_kvpt	concept_city_fresno
concept_televisionstation_kvue_tv	concept_city_austin
concept_televisionstation_kvye	concept_city_el_centro
concept_televisionstation_kwch	concept_city_wichita
concept_televisionstation_kwhy	concept_city_glendale
concept_televisionstation_kwhy	concept_county_los_angeles_county
concept_televisionstation_kwtv	concept_city_oklahoma_city
concept_televisionstation_kxan	concept_city_austin
concept_televisionstation_kxas	concept_city_dallas
concept_televisionstation_kxla	concept_county_los_angeles_county
concept_televisionstation_kxly	concept_city_spokane
concept_televisionstation_kxtv	concept_city_sacramento
concept_televisionstation_kxxv	concept_city_waco
concept_televisionstation_kzdf	concept_city_san_diego
concept_televisionstation_macon	concept_city_lafayette
concept_televisionstation_n9news	concept_city_denver
concept_televisionstation_nbc10	concept_city_philadelphia
concept_televisionstation_nbc15	concept_city_madison
concept_televisionstation_nbc5	concept_city_chicago
concept_televisionstation_newschannel5	concept_city_nashville
concept_televisionstation_newsnet5	concept_city_cleveland
concept_televisionstation_sunherald	concept_city_biloxi
concept_televisionstation_thedenverchannel	concept_city_denver
concept_televisionstation_theindychannel	concept_city_indianapolis
concept_televisionstation_wabc	concept_city_new_york
concept_televisionstation_waff	concept_city_huntsville
concept_televisionstation_waga	concept_city_atlanta
concept_televisionstation_wave	concept_city_louisville
concept_televisionstation_wbaltv	concept_city_baltimore
concept_televisionstation_wbap	concept_city_ft__worth
concept_televisionstation_wbff_tv	concept_city_baltimore
concept_televisionstation_wbir_tv	concept_city_knoxville
concept_televisionstation_wbns_tv	concept_city_columbus
concept_televisionstation_wboc	concept_city_salisbury
concept_televisionstation_wbz	concept_city_boston
concept_televisionstation_wbz__tv	concept_city_boston
concept_televisionstation_wcax	concept_city_burlington
concept_televisionstation_wcft	concept_city_birmingham
concept_televisionstation_wciv_tv	concept_city_charleston
concept_televisionstation_wcmh	concept_city_columbus
concept_televisionstation_wcpo	concept_city_cincinnati
concept_televisionstation_wcti	concept_city_new_bern
concept_televisionstation_wcvb	concept_city_boston
concept_televisionstation_wcvb_tv	concept_city_boston
concept_televisionstation_wdaf	concept_county_kansas_city
concept_televisionstation_wday	concept_city_fargo
concept_televisionstation_wdiv	concept_city_detroit
concept_televisionstation_wdsu	concept_city_new_orleans
concept_televisionstation_wear	concept_city_pensacola
concept_televisionstation_wesh	concept_city_orlando
concept_televisionstation_wews_tv	concept_city_cleveland
concept_televisionstation_wfla	concept_city_tampa_bay
concept_televisionstation_wfld	concept_city_chicago
concept_televisionstation_wfld_tv	concept_city_chicago
concept_televisionstation_wfmy	concept_city_greensboro
concept_televisionstation_wftv	concept_city_orlando
concept_televisionstation_wgal_tv	concept_city_lancaster
concept_televisionstation_wgbh	concept_city_boston
concept_televisionstation_wgn_tv	concept_city_chicago
concept_televisionstation_wgrz_tv	concept_city_buffalo
concept_televisionstation_wgy	concept_city_schenectady
concept_televisionstation_whdh	concept_city_boston
concept_televisionstation_whyy	concept_city_philadelphia
concept_televisionstation_wics_tv	concept_city_springfield
concept_televisionstation_wish_tv	concept_city_indianapolis
concept_televisionstation_wisn	concept_city_milwaukee
concept_televisionstation_wjw	concept_city_cleveland
concept_televisionstation_wjz_tv	concept_city_baltimore
concept_televisionstation_wkrn	concept_city_nashville
concept_televisionstation_wkyc_tv	concept_city_cleveland
concept_televisionstation_wlac	concept_city_nashville
concept_televisionstation_wlbz2	concept_city_bangor
concept_televisionstation_wlex_tv	concept_county_lexington
concept_televisionstation_wlky_tv	concept_city_louisville
concept_televisionstation_wls	concept_city_chicago
concept_televisionstation_wlw	concept_city_cincinnati
concept_televisionstation_wlwt	concept_city_cincinnati
concept_televisionstation_wmaz_tv	concept_city_macon
concept_televisionstation_wmc_tv	concept_city_memphis
concept_televisionstation_wnbc_tv	concept_city_new_york
concept_televisionstation_wnet	concept_city_new_york
concept_televisionstation_wnky_dt	concept_geopoliticallocation_bowling_green
concept_televisionstation_woio_tv	concept_city_cleveland
concept_televisionstation_wplg	concept_city_miami
concept_televisionstation_wptv_tv	concept_city_west_palm_beach
concept_televisionstation_wptz	concept_city_burlington
concept_televisionstation_wpvi_tv	concept_city_philadelphia
concept_televisionstation_wpxi_tv	concept_city_pittsburgh
concept_televisionstation_wqad	concept_city_davenport
concept_televisionstation_wsb	concept_city_atlanta
concept_televisionstation_wsbtv	concept_city_atlanta
concept_televisionstation_wsls	concept_city_roanoke
concept_televisionstation_wsmv	concept_city_nashville
concept_televisionstation_wtae	concept_city_pittsburgh
concept_televisionstation_wtev	concept_city_jacksonville
concept_televisionstation_wthr	concept_city_indianapolis
concept_televisionstation_wtnh	concept_city_new_haven
concept_televisionstation_wtoc_tv	concept_city_savannah
concept_televisionstation_wtol	concept_city_toledo
concept_televisionstation_wttw	concept_city_chicago
concept_televisionstation_wtvf_tv	concept_city_nashville
concept_televisionstation_wtvr	concept_city_richmond
concept_televisionstation_wtvr_tv	concept_city_richmond
concept_televisionstation_wtvs	concept_city_detroit
concept_televisionstation_wtvt_tv	concept_city_tampa_bay
concept_televisionstation_wvit	concept_city_hartford
concept_televisionstation_wway_tv	concept_city_wilmington
concept_televisionstation_wwbt	concept_city_richmond
concept_televisionstation_wwl	concept_city_new_orleans
concept_televisionstation_wwltv	concept_city_new_orleans
concept_televisionstation_wwor	concept_city_new_york
concept_televisionstation_wxia	concept_city_atlanta
concept_televisionstation_wxix	concept_city_cincinnati
concept_televisionstation_wxyz	concept_city_detroit
concept_televisionstation_wzzm	concept_city_grand_rapids_kalamazoo_battle_creek
concept_televisionstation_xetv	concept_city_san_diego
concept_website_abc_world_news	concept_city_new_york
concept_website_amazon	concept_city_cape_town
concept_website_amazon	concept_city_seattle
concept_website_associated_press	concept_city_new_york
concept_website_bloomberg_news	concept_city_new_york
concept_website_cbs_evening_news	concept_city_new_york
concept_website_chicago_tribune	concept_city_la
concept_website_chicago_tribune	concept_city_new_york
concept_website_daily_news	concept_city_denver
concept_website_daily_news	concept_city_new_york
concept_website_entertainment_weekly	concept_city_new_york
concept_website_espn_the_magazine	concept_city_new_york
concept_website_facebook	concept_city_palo_alto
concept_website_fortune	concept_city_new_york
concept_website_fox_news	concept_city_new_york
concept_website_good_housekeeping	concept_city_new_york
concept_website_herald_tribune	concept_city_new_york
concept_website_herald_tribune	concept_city_washington_d_c
concept_website_kabc	concept_county_los_angeles_county
concept_website_katv	concept_city_little_rock
concept_website_kcbs	concept_county_los_angeles_county
concept_website_kesq	concept_city_palm_springs
concept_website_kion	concept_city_salinas
concept_website_kltv	concept_city_tyler
concept_website_koco_tv	concept_city_oklahoma_city
concept_website_kpix	concept_city_san_francisco
concept_website_kron	concept_city_san_francisco
concept_website_ksbw	concept_city_salinas
concept_website_ksby	concept_city_san_luis_obispo
concept_website_l_a__weekly	concept_city_la
concept_website_l_a__weekly	concept_county_los_angeles_county
concept_website_marketwatch	concept_city_new_york
concept_website_mother_jones_magazine	concept_city_new_york
concept_website_nbc_news	concept_city_new_york
concept_website_new_york_american	concept_city_new_york
concept_website_new_york_daily	concept_city_new_york
concept_website_new_york_review_of_books	concept_city_new_york
concept_website_new_york_times	concept_city_new_york
concept_website_new_york_times	concept_county_los_angeles_county
concept_website_new_york_times_a	concept_city_new_york
concept_website_new_york_times_book_review	concept_city_new_york
concept_website_new_york_tribune	concept_city_new_york
concept_website_new_yorker_magazine	concept_city_new_york
concept_website_newsweek	concept_city_new_york
concept_website_nyt_	concept_city_new_york
concept_website_orange_county_register	concept_city_la
concept_website_people_magazine	concept_city_new_york
concept_website_publishers_weekly	concept_city_new_york
concept_website_rolling_stone_magazine	concept_city_new_york
concept_website_rss	concept_city_nagpur
concept_website_the_daily_news	concept_city_new_york
concept_website_the_houston_chronicle	concept_city_new_york
concept_website_the_independent	concept_city_new_york
concept_website_the_nation	concept_city_new_york
concept_website_the_san_francisco_chronicle	concept_city_new_york
concept_website_the_san_francisco_chronicle	concept_county_los_angeles_county
concept_website_the_washington_post	concept_city_new_york
concept_website_the_washington_times	concept_city_new_york
concept_website_time_magazine	concept_city_new_york
concept_website_times_magazine	concept_city_new_york
concept_website_times_magazine	concept_city_washington_d_c
concept_website_times_newspapers	concept_city_washington_d_c
concept_website_village_voice	concept_city_new_york
concept_website_washington_post	concept_city_london_city
concept_website_washington_post	concept_city_new_york
concept_website_washington_post	concept_city_washington_d_c
concept_website_washington_star	concept_city_washington_d_c
concept_website_washington_times	concept_city_washington_d_c
concept_website_wkrn	concept_city_nashville
concept_website_wrtv	concept_city_indianapolis
concept_website_wsb_tv	concept_city_atlanta
concept_website_wtae_tv	concept_city_pittsburgh
